Division Name,Zila Name,Upazila Name,Total Population (N),Rural Population (%),Working-age population (N),Number of Households (N),Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Primary employment: Agriculture (%),Primary employment: Industry (%),Primary employment: Services (%),Households with Electricity (%),Households with flush toilet (%),"Households with non-flush, latrine (%)",Literate population (18 years and older) (%), Educational attainment: Less than primary completed (18 years and older) (%), Educational attainment: Primary completed (18 years and older) (%), Educational attainment: Secondary completed (18 years and older)(%), Educational attainment: University completed (18 years and older) (%),School attendance among 6-18 years old (%),School attendance among 6-10 years old (%),School attendance among 11-13 years old (%),School attendance among 14-15 years old (%),School attendance among 16-18 years old (%),Percentage of underweight children (%),Percentage of severely underweight children (%),Percentage of stunted children (%),Percentage of severely stunted children (%),Households with tap water (%),Households with tubewell water (%),"Households without toilet, open defecation (%)"
RAJSHAHI,NAOGAON,PORSHA,130360,91.1,82920,30760,21.7,9.4,81.3,4.9,13.8,27.4,12.2,12.2,41.0,56.4,34.5,7.4,1.7,65.8,75.5,72.3,56.1,26.8,36.9,8.9,43.8,25.9,5.5,57.6,48.5
RAJSHAHI,RAJSHAHI,PUTHIA,204660,87.4,136360,52940,26.8,13.3,72.6,3.2,24.1,58.5,25.1,38.2,45.8,52.7,32.9,11.3,3.1,78.1,82.7,85.2,75.7,53.0,31.8,6.9,38.3,21.6,3.8,93.1,7.3
RAJSHAHI,RAJSHAHI,RAJPARA,131560,0.0,91040,30440,24.4,10.7,6.4,4.9,88.7,90.3,70.3,18.9,74.4,24.7,31.2,29.3,14.8,80.1,84.6,85.4,77.0,66.7,23.4,4.5,34.6,18.7,9.6,90.1,1.4
RAJSHAHI,NAOGAON,RANINAGAR,186840,96.5,119580,45640,13.3,4.9,78.6,4.1,17.4,53.0,24.2,24.1,45.8,54.2,34.5,9.8,1.5,70.2,78.5,81.3,59.2,30.1,33.1,7.4,38.8,22.0,0.9,95.1,17.4
RAJSHAHI,SIRAJGANJ,ROYGANJ,324640,94.2,192460,77160,39.4,22.8,67.7,12.5,19.8,33.7,15.1,46.2,34.5,66.5,24.1,7.7,1.8,68.5,73.6,77.0,60.2,31.9,37.9,9.2,43.9,25.8,0.7,95.3,9.4
RAJSHAHI,PABNA,SANTHIA,380020,89.8,229940,89060,33.1,17.5,67.3,11.8,20.8,55.1,22.5,48.9,39.7,61.5,27.0,9.6,1.9,71.1,76.9,81.4,61.6,37.5,35.2,8.2,41.3,23.5,0.7,93.9,3.5
RAJSHAHI,NAOGAON,SAPAHAR,161060,92.2,101620,36220,21.4,9.0,83.8,3.4,12.9,25.0,8.7,11.0,39.9,56.3,31.3,9.6,2.8,67.2,77.1,74.7,59.3,27.5,35.7,8.4,42.8,25.1,10.5,68.9,45.4
RAJSHAHI,BOGRA,SARIAKANDI,272280,92.8,161040,75600,21.6,8.7,77.7,6.7,15.6,27.9,32.3,35.1,32.0,68.8,20.8,9.4,0.9,70.1,73.0,81.2,64.1,37.9,38.4,9.4,41.7,24.1,0.2,95.5,11.3
RAJSHAHI,RAJSHAHI,SHAH MAKHDUM,29260,0.0,20380,6900,30.9,13.4,13.8,18.5,67.8,79.1,48.1,35.1,70.3,25.8,36.8,27.4,9.9,78.6,86.8,83.0,75.0,50.8,26.8,5.6,35.5,19.5,26.1,72.2,4.1
RAJSHAHI,SIRAJGANJ,SHAHJADPUR,568700,87.2,334440,123580,41.8,25.1,49.1,29.0,21.9,54.1,8.8,36.7,35.3,64.9,25.2,8.1,1.7,63.5,70.5,72.1,52.6,28.1,37.5,9.1,47.4,28.5,1.1,95.2,2.7
