Division Name,Zila Name,Upazila Name,Total Population (N),Rural Population (%),Working-age population (N),Number of Households (N),Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Primary employment: Agriculture (%),Primary employment: Industry (%),Primary employment: Services (%),Households with Electricity (%),Households with flush toilet (%),"Households with non-flush, latrine (%)",Literate population (18 years and older) (%), Educational attainment: Less than primary completed (18 years and older) (%), Educational attainment: Primary completed (18 years and older) (%), Educational attainment: Secondary completed (18 years and older)(%), Educational attainment: University completed (18 years and older) (%),School attendance among 6-18 years old (%),School attendance among 6-10 years old (%),School attendance among 11-13 years old (%),School attendance among 14-15 years old (%),School attendance among 16-18 years old (%),Percentage of underweight children (%),Percentage of severely underweight children (%),Percentage of stunted children (%),Percentage of severely stunted children (%),Households with tap water (%),Households with tubewell water (%),"Households without toilet, open defecation (%)"
RANGPUR,KURIGRAM,PHULBARI,161900,92.0,97900,39640,68.5,48.8,74.9,3.8,21.2,14.8,27.1,45.5,40.4,62.6,26.1,9.1,2.2,75.3,79.4,85.6,66.4,45.7,37.2,8.9,40.7,19.2,0.1,98.2,6.8
RANGPUR,RANGPUR,PIRGACHHA,311840,95.8,190920,82640,49.7,30.5,74.3,5.7,19.9,29.0,12.7,34.4,39.9,60.5,27.0,10.3,2.1,72.9,76.3,84.2,67.4,41.8,36.0,8.5,41.1,19.1,0.3,96.2,13.4
RANGPUR,RANGPUR,PIRGANJ,244320,96.1,150660,101660,46.9,28.3,75.9,3.6,20.5,30.4,18.4,21.3,39.8,63.2,25.0,9.2,2.5,72.0,76.1,81.3,63.3,41.3,35.4,8.3,41.3,19.4,0.3,97.7,26.8
RANGPUR,THAKURGAON,PIRGANJ,381120,88.8,231820,58300,23.3,9.6,69.8,2.9,27.3,26.2,20.1,19.8,43.7,56.3,28.8,11.9,3.0,75.0,81.1,82.4,67.2,43.3,34.8,8.0,42.5,20.3,0.2,98.0,22.7
RANGPUR,KURIGRAM,RAJARHAT,183600,94.7,112460,46500,67.7,48.6,63.4,4.0,32.6,22.5,15.4,40.5,45.1,56.2,30.0,10.9,2.9,80.2,83.1,89.7,73.5,51.8,34.5,7.9,41.2,19.4,0.2,98.8,6.2
RANGPUR,RANGPUR,RANGPUR SADAR,706600,59.2,453080,165020,37.1,25.8,32.3,11.3,56.4,63.4,28.3,30.9,59.4,42.8,29.7,20.0,7.5,73.1,78.7,80.0,66.4,49.0,30.5,6.6,41.0,19.3,7.4,91.0,15.4
RANGPUR,THAKURGAON,RANISANKAIL,221940,91.7,132360,51060,25.8,11.1,75.2,3.8,21.0,28.1,13.4,15.7,41.6,59.6,28.4,9.2,2.9,72.6,78.9,81.8,60.2,39.4,35.3,8.2,42.5,20.2,0.3,98.2,25.8
RANGPUR,KURIGRAM,RAUMARI,196820,86.8,114560,46880,57.0,36.0,80.7,3.9,15.4,17.8,16.9,43.0,29.4,71.0,19.4,8.4,1.3,72.7,76.5,83.4,62.5,41.6,40.9,10.4,42.6,20.4,0.0,95.3,9.3
RANGPUR,GAIBANDHA,SADULLAPUR,285020,95.7,170760,75240,51.0,31.1,76.4,5.2,18.4,21.8,12.5,26.0,39.6,61.9,24.8,11.0,2.4,72.6,77.2,81.5,61.8,40.4,36.6,8.7,41.7,19.7,0.2,97.6,23.3
RANGPUR,GAIBANDHA,SAGHATA,264420,94.3,155740,68960,52.8,34.1,71.5,4.0,24.5,31.1,9.8,23.9,35.7,64.9,23.9,9.4,1.8,72.9,76.0,85.2,68.2,37.2,38.1,9.3,43.0,20.6,0.1,97.0,15.8
RANGPUR,NILPHAMARI,SAIDPUR,261160,51.6,160500,58120,27.7,16.2,31.7,16.7,51.6,62.4,35.7,20.8,50.8,50.3,29.0,16.3,4.4,69.7,78.2,74.9,57.0,43.4,31.8,7.1,40.9,18.9,2.9,95.2,17.1
RANGPUR,GAIBANDHA,SUNDARGANJ,463800,95.4,275660,122100,47.6,29.4,79.2,4.2,16.6,21.4,7.6,20.1,33.8,68.6,20.0,9.0,2.4,69.1,73.3,79.5,62.5,33.4,38.6,9.5,43.0,20.5,0.1,94.3,27.4
RANGPUR,RANGPUR,TARAGANJ,139360,94.2,83380,34120,52.4,32.4,79.6,3.9,16.5,30.1,20.5,18.6,38.9,61.6,27.2,9.6,1.6,70.0,77.7,81.0,50.0,36.6,36.1,8.5,42.0,19.9,0.5,96.8,19.1
RANGPUR,PANCHAGARH,TENTULIA,126180,95.5,76680,27920,21.5,8.8,57.8,22.9,19.4,23.6,40.8,31.6,43.1,55.2,34.0,9.1,1.8,72.3,79.8,78.5,67.1,36.8,34.5,7.9,43.0,20.2,0.4,93.6,11.5
RANGPUR,THAKURGAON,THAKURGAON SADAR,582020,84.2,359920,133340,28.6,17.7,59.1,4.6,36.3,47.5,9.0,17.8,49.4,49.3,33.2,13.4,4.1,75.7,82.7,83.5,67.1,43.1,32.5,7.2,42.5,20.2,0.7,96.8,23.0
RANGPUR,KURIGRAM,ULIPUR,395380,88.5,231380,103060,65.3,46.2,75.3,4.9,19.8,19.3,15.3,38.1,40.0,62.1,26.0,9.9,2.0,75.8,77.9,87.2,70.4,42.8,37.6,9.1,41.2,19.3,0.2,97.8,16.6
SYLHET,HABIGANJ,AJMIRIGANJ,112220,87.1,60580,21300,32.6,26.4,69.0,3.8,27.2,44.4,6.3,16.2,34.8,70.9,23.6,4.7,0.8,52.6,65.9,50.3,31.4,15.6,40.9,10.6,45.8,31.1,0.5,81.0,10.5
SYLHET,HABIGANJ,BAHUBAL,196920,97.9,107340,37340,24.1,19.3,73.6,9.0,17.4,38.6,16.0,31.3,39.1,61.8,30.8,6.4,1.1,59.6,73.4,56.8,35.5,22.5,39.4,10.0,44.0,29.1,0.7,92.1,7.6
SYLHET,SYLHET,BALAGANJ,323580,97.4,183980,54240,19.7,15.8,53.3,6.5,40.2,58.8,17.2,44.2,49.3,51.8,39.3,7.7,1.2,66.3,82.4,70.8,45.8,25.0,35.7,8.5,43.1,28.4,2.2,68.5,3.6
SYLHET,HABIGANJ,BANIACHONG,335180,91.3,179140,59440,27.6,22.2,77.4,4.1,18.5,43.6,4.2,33.9,33.2,67.6,27.0,4.8,0.7,55.7,68.9,57.1,30.4,16.9,39.9,10.2,44.3,29.5,0.1,87.2,5.1
SYLHET,MAULVIBAZAR,BARLEKHA,259380,89.6,145600,44220,25.7,20.8,42.1,13.7,44.2,45.2,17.5,33.1,51.3,51.3,38.9,8.2,1.6,68.6,80.7,75.3,52.6,30.1,37.3,9.2,45.3,30.6,2.6,68.3,4.9
SYLHET,SYLHET,BEANI BAZAR,246360,83.7,140160,42120,15.9,11.8,37.9,16.2,45.9,71.3,26.6,48.8,58.1,45.2,41.7,11.7,1.5,70.5,82.3,76.1,56.4,34.4,33.8,7.8,41.4,26.8,9.1,81.4,0.9
SYLHET,SUNAMGANJ,BISHWAMBARPUR,156860,98.1,78180,29340,30.4,24.7,75.4,2.5,22.0,19.3,3.4,19.4,31.0,71.8,22.2,5.2,0.9,61.4,70.3,62.7,45.8,22.3,41.8,10.8,47.2,32.5,0.1,85.3,14.7
SYLHET,SYLHET,BISHWANATH,227620,91.2,128000,37980,12.5,9.7,50.2,8.5,41.3,65.0,25.9,43.2,46.2,54.8,36.9,7.4,0.9,66.2,81.4,71.5,45.7,22.6,37.0,9.0,43.5,28.8,2.1,84.1,2.7
SYLHET,SUNAMGANJ,CHHATAK,409940,87.5,222620,66700,23.6,18.6,59.8,8.7,31.5,50.2,12.6,29.8,37.5,64.2,28.4,6.2,1.1,63.2,76.3,65.3,40.7,23.7,39.7,10.2,45.7,30.6,3.4,79.8,9.3
SYLHET,HABIGANJ,CHUNARUGHAT,307020,93.1,172260,61140,27.5,22.5,71.4,5.0,23.6,39.6,10.1,34.3,38.5,61.7,29.9,7.3,1.2,63.6,75.9,67.0,45.9,25.6,39.2,9.9,43.4,28.8,3.0,85.3,15.5
SYLHET,SYLHET,COMPANIGANJ,172720,89.8,85140,28760,34.5,28.7,51.5,21.7,26.8,37.6,2.9,42.1,25.8,75.7,20.6,3.0,0.7,53.3,67.4,51.8,25.2,12.5,42.8,11.3,49.9,34.2,0.6,77.3,11.3
SYLHET,SUNAMGANJ,DAKSHIN SUNAMGANJ,183280,97.2,96340,32040,24.4,19.5,79.0,4.8,16.2,39.1,7.9,22.8,31.3,71.7,24.0,3.8,0.6,58.0,73.1,55.9,34.9,17.1,40.8,10.5,45.5,30.5,0.1,93.4,10.5
SYLHET,SYLHET,DAKSHIN SURMA,247200,93.4,146000,43000,10.3,7.8,29.2,19.8,50.9,78.7,36.0,41.3,56.1,44.3,42.8,11.5,1.5,67.9,83.8,75.5,46.0,30.2,34.7,8.1,43.2,28.5,5.5,83.5,2.3
SYLHET,SUNAMGANJ,DERAI,246360,85.6,133460,45040,26.2,20.7,76.1,3.5,20.4,34.8,6.2,29.3,36.7,65.9,27.6,5.4,1.1,54.1,66.8,55.7,28.6,15.4,40.1,10.2,44.9,30.3,0.1,93.4,11.6
SYLHET,SUNAMGANJ,DHARAMPASHA,221200,95.0,118240,43920,25.5,20.2,83.2,1.6,15.2,12.4,3.9,16.5,27.2,74.3,20.5,4.2,1.0,53.1,63.0,53.9,35.8,14.9,42.5,11.2,46.7,31.7,0.2,90.6,12.4
SYLHET,SUNAMGANJ,DOWARABAZAR,226820,93.7,115440,42700,29.9,24.3,81.5,3.1,15.4,24.1,6.2,26.9,27.8,75.1,20.7,3.5,0.7,60.3,74.9,59.8,31.9,13.4,42.3,11.2,45.1,30.4,0.2,77.5,15.1
SYLHET,SYLHET,FENCHUGANJ,102840,78.5,58200,18900,16.9,13.4,38.3,14.4,47.3,69.3,28.6,42.9,52.2,47.0,37.7,12.9,2.4,66.4,80.2,73.3,44.2,28.3,37.4,9.2,43.0,28.4,12.8,79.9,3.1
SYLHET,SYLHET,GOLAPGANJ,320380,88.3,184780,50440,14.9,11.1,43.1,17.4,39.5,72.3,24.8,42.8,57.0,43.4,42.4,12.3,1.9,70.1,84.5,76.7,56.4,28.3,34.8,8.2,42.1,27.4,6.3,87.9,1.8
SYLHET,SYLHET,GOWAINGHAT,287180,98.1,147020,48000,52.6,46.5,68.1,18.2,13.8,30.0,3.9,16.0,28.2,72.7,21.3,5.1,0.9,57.5,68.1,61.2,37.7,18.0,42.6,11.3,49.2,34.1,0.5,46.0,23.7
SYLHET,HABIGANJ,HABIGANJ SADAR,340040,67.4,196620,62280,16.9,12.2,44.1,9.2,46.7,68.6,24.8,44.6,49.6,50.2,34.2,12.4,3.2,65.6,77.1,68.3,48.7,33.9,36.0,8.6,41.4,27.0,7.5,89.9,3.5
SYLHET,SUNAMGANJ,JAGANNATHPUR,256640,84.0,139120,42880,21.0,15.8,70.4,4.9,24.8,40.6,19.8,32.8,39.8,62.5,31.4,5.4,0.7,63.0,74.9,67.2,43.7,22.9,39.8,10.1,45.1,30.4,0.8,88.1,6.3
SYLHET,SYLHET,JAINTIAPUR,156820,95.1,81860,27700,34.7,28.9,54.0,18.1,27.8,41.0,7.3,34.8,35.6,66.0,26.4,6.4,1.1,61.7,75.5,62.2,37.6,22.5,39.8,10.2,47.0,31.7,2.1,70.0,10.3
SYLHET,SUNAMGANJ,JAMALGANJ,167940,94.2,88160,29940,24.6,19.4,80.9,5.2,13.9,25.9,3.5,25.8,29.1,72.4,22.6,4.4,0.6,52.3,63.8,54.7,26.3,14.9,41.1,10.6,46.2,31.4,0.3,96.0,9.7
SYLHET,MAULVIBAZAR,JURI,148460,91.5,85760,27500,36.3,31.3,51.5,14.6,33.9,41.3,10.8,27.9,49.2,57.0,33.6,8.5,1.0,68.3,80.7,73.2,55.2,30.8,36.9,8.9,45.3,30.7,2.1,64.4,11.7
SYLHET,MAULVIBAZAR,KAMALGANJ,253220,88.6,148860,51920,26.7,22.0,45.4,14.8,39.7,41.8,12.6,26.0,45.5,57.9,32.5,8.2,1.4,65.2,78.8,69.3,48.6,24.3,38.3,9.5,46.1,31.4,2.7,75.9,12.0
SYLHET,SYLHET,KANAIGHAT,264500,90.0,137280,46140,45.8,39.7,63.1,12.5,24.3,43.9,8.5,32.5,39.9,61.6,30.4,6.5,1.5,64.1,75.2,70.1,45.5,22.5,39.7,10.2,44.8,30.1,0.8,24.0,9.9
SYLHET,MAULVIBAZAR,KULAURA,359140,91.9,204360,66460,28.1,23.1,64.3,11.7,24.0,53.6,20.2,30.5,49.9,52.4,37.4,8.7,1.5,67.3,79.5,74.1,50.1,26.8,35.6,8.5,41.3,27.3,3.9,71.1,6.7
SYLHET,HABIGANJ,LAKHAI,148580,88.2,76280,27760,25.2,20.0,69.1,4.7,26.2,37.3,4.2,34.5,31.9,71.8,23.8,3.9,0.5,56.5,69.5,56.0,33.5,14.6,42.9,11.5,46.6,31.5,0.1,95.0,4.6
SYLHET,HABIGANJ,MADHABPUR,327260,92.0,181680,62280,25.9,20.7,58.2,11.3,30.5,51.7,9.7,34.1,38.4,61.2,30.5,7.0,1.3,63.4,77.1,63.8,44.3,23.0,39.9,10.1,45.9,31.1,1.4,89.6,10.5
SYLHET,MAULVIBAZAR,MAULVIBAZAR SADAR,338840,83.9,200080,62880,16.7,12.7,39.2,8.9,51.9,65.4,35.6,36.5,54.4,48.4,38.1,10.6,2.9,64.1,78.3,66.9,45.0,28.6,35.4,8.4,42.7,28.1,11.6,77.5,3.0
SYLHET,HABIGANJ,NABIGANJ,343100,91.0,190280,61860,26.8,21.5,61.7,9.2,29.1,45.3,10.8,40.3,40.6,60.3,33.6,5.2,1.0,61.9,76.7,65.2,36.6,18.7,39.1,9.8,44.5,29.6,1.3,81.1,6.0
SYLHET,MAULVIBAZAR,RAJNAGAR,237600,94.1,136300,43060,22.3,18.0,56.9,14.4,28.7,45.1,17.0,34.0,46.7,55.3,36.3,7.3,1.0,64.2,80.1,67.6,42.6,18.6,37.3,9.2,43.1,29.0,0.9,83.6,9.1
SYLHET,MAULVIBAZAR,SREEMANGAL,318700,87.7,193900,65160,29.3,24.7,48.9,10.0,41.1,51.0,19.7,30.8,45.3,57.7,31.6,8.4,2.4,59.1,71.9,63.8,40.2,22.1,36.8,8.9,44.3,29.6,6.6,78.2,20.1
SYLHET,SUNAMGANJ,SULLA,116240,96.2,63100,20320,28.3,22.9,91.3,2.9,5.8,36.5,1.6,15.8,31.4,72.5,22.9,4.2,0.4,47.5,56.7,53.0,32.6,11.6,39.3,9.8,45.5,30.6,0.1,99.1,16.4
SYLHET,SUNAMGANJ,SUNAMGANJ SADAR,286400,74.8,154700,49560,25.1,19.3,53.5,9.1,37.5,48.0,8.2,28.9,38.8,61.4,27.0,8.6,3.0,64.0,75.8,65.5,40.8,26.1,40.4,10.4,46.0,31.1,3.1,88.4,10.9
SYLHET,SYLHET,SYLHET SADAR,819100,36.7,510640,158240,14.3,9.7,10.5,19.8,69.7,86.5,38.8,38.9,62.4,38.4,33.2,20.3,8.1,65.8,79.0,69.6,48.8,37.5,32.8,7.5,40.1,25.8,36.6,58.3,3.0
SYLHET,SUNAMGANJ,TAHIRPUR,213480,95.9,104920,37960,31.2,25.3,75.5,3.4,21.1,26.0,2.1,15.7,28.0,75.3,20.2,3.9,0.6,56.3,66.6,55.9,30.7,17.4,41.7,10.8,48.8,33.5,0.1,90.8,20.2
SYLHET,SYLHET,ZAKIGANJ,250140,91.4,132600,40540,39.0,32.9,49.3,6.8,43.9,29.1,10.2,39.4,46.5,53.0,35.4,9.8,1.9,69.7,82.6,74.7,52.5,30.9,37.5,9.2,46.1,31.1,1.6,46.6,1.7
