"","LFP_Disability$Date","LFP_Disability$LFP_D","LFP_No_Disability$LFP_ND"
"179","2023-04-01",23,67.9
"180","2023-05-01",24.3,68
"181","2023-06-01",24,68.7
"182","2023-07-01",24.6,68.6
"183","2023-08-01",24.9,68.4
"184","2023-09-01",24.2,68.3
"185","2023-10-01",24.4,68.2
"186","2023-11-01",24.8,68.2
"187","2023-12-01",24.5,67.6
"188","2024-01-01",24.5,67.6
"189","2024-02-01",24.4,68
"190","2024-03-01",24.5,68.2
"191","2024-04-01",24.5,68
"192","2024-05-01",25,67.9
